Date,High,Low,Close,Open,Volume
28/11/2017,482.48,466.35,472.9,480.52,1346500000
27/11/2017,493.41,468.49,480.36,471.53,1396480000
26/11/2017,472.72,451.61,471.33,465.97,1197780000
25/11/2017,485.19,461.05,466.28,475.68,1422080000
24/11/2017,480.97,402.76,474.91,412.5,2292830000
23/11/2017,425.55,376.09,410.17,381.44,1845680000
22/11/2017,381.42,360.15,380.65,360.31,800819000
21/11/2017,372.47,350.69,360.4,367.44,949912000
20/11/2017,372.14,353.29,366.73,354.09,807027000
19/11/2017,371.29,344.74,354.39,347.4,1181530000
18/11/2017,349.62,327.69,347.61,331.98,649639000
17/11/2017,334.96,327.52,332.39,330.17,621733000
16/11/2017,336.16,323.61,330.92,333.44,797254000
15/11/2017,340.91,329.81,333.36,337.96,722666000
14/11/2017,340.18,316.76,337.63,316.76,1069680000
13/11/2017,328.42,307.03,316.72,307.03,1041890000
12/11/2017,319.15,298.51,307.91,314.69,1613480000
11/11/2017,319.45,298.19,314.68,298.59,842301000
10/11/2017,324.72,294.54,299.25,320.67,885986000
9/11/2017,329.45,307.06,320.88,308.65,893250000
8/11/2017,318.7,293.1,309.07,294.27,967956000
7/11/2017,304.84,290.77,294.66,298.57,540766000
6/11/2017,305.42,293.72,298.89,296.43,579359000
5/11/2017,301.37,295.12,296.26,300.04,337658000
4/11/2017,305.48,295.8,300.47,305.48,416479000
3/11/2017,308.31,287.69,305.71,288.5,646340000
2/11/2017,293.91,281.17,287.43,290.73,904901000
1/11/2017,306.4,290.58,291.69,305.76,553864000
31/10/2017,310.55,305.88,305.88,307.38,369583000
30/10/2017,310.5,304.35,307.75,304.78,331442000
29/10/2017,313.76,296.38,305.09,296.38,551752000
28/10/2017,300.36,293.59,296.3,297.92,264424000
27/10/2017,299.26,294.06,297.42,296.51,257169000
26/10/2017,301.07,295.22,296.53,298.02,270273000
25/10/2017,301.85,290.72,297.93,298.44,325040000
24/10/2017,311.96,282.66,298.33,287.12,684281000
23/10/2017,295.75,277.58,286.95,295.1,482336000
22/10/2017,305.5,292.81,295.45,300.55,327387000
21/10/2017,303.93,291.77,300.19,303.57,408014000
20/10/2017,311.44,303.49,304.01,308.05,396673000
19/10/2017,316.71,305.83,308.09,314.54,349830000
18/10/2017,317.24,290.64,314.32,316.94,606114000
